class\metrics,precision,recall,f1-score,support
0 (No Cheat),0.9338929695697796,0.712,0.8079891057648662,2500.0
1 (Read Text),0.9006529850746269,0.9655,0.931949806949807,2000.0
2 (Ask Friend),0.6864966949952785,0.9693333333333334,0.8037589828634605,1500.0
5 (Call Friend),0.921875,0.767,0.8373362445414848,1000.0
accuracy,0.8474285714285714,0.8474285714285714,0.8474285714285714,0.8474285714285714
macro avg,0.8607294124099213,0.8534583333333333,0.8452585350299047,7000.0
weighted avg,0.8696654909380886,0.8474285714285714,0.8466924424497793,7000.0
